code,name,remarks
bars,BARS,
blind-rivets,BLIND RIVETS,
brush,BRUSH,
boysen-paints,BOYSEN PAINTS,
coat-savers/thinners/varnish,COAT SAVERS/THINNERS/VARNISH,
compounds,COMPOUNDS,
discs,DISCS,
drill-bits,DRILL BITS,
hinges,HINGES,
electrical,ELECTRICAL,
breakers,BREAKERS,
gl,GI,
hose-and-other-tubes,HOSE AND OTHER TUBES,
led-lights,LED LIGHTS,
nails,NAILS,
sealants,SEALANTS,
sanpaper,SANPAPER,
pipes,PIPES,
ropes,Ropes,
screens-and-insulations,SCREENS AND INSULATIONS,
screws,SCREWS,
tapes,TAPES,
plumbing,PLUMBING,
tools,TOOLS,
welding-stuff,WELDING STUFF,
woods,WOODS,
wires,WIRES,
